,id,url,type,cost,impression,effect,status,img
7,CR183144002571206656,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR183144002571206656,Image,500,50000,100,,
8,CR184437028245471232,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR184437028245471232,Image,50,500000,10000,,
9,CR250865122749186048,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR250865122749186048,Image,50,5000,100,,
12,CR293622930930139136,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR293622930930139136,Image,500,50000,100,,
15,CR306034218184474624,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR306034218184474624,Image,50,5000,100,,
29,CR465322666723639296,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR465322666723639296,Image,500,50000,100,,
32,CR504869900951486464,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR504869900951486464,Image,500,50000,100,,
33,CR506444401602461696,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR506444401602461696,Image,50,50000,1000,,
40,CR56084438865412096,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR56084438865412096,Image,500,50000,100,,
44,CR102333746220367872,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR102333746220367872,Image,50,5000,100,,
45,CR105957736545517568,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR105957736545517568,Image,50,50000,1000,,
46,CR109335436266045440,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR109335436266045440,Image,50,50000,1000,,
47,CR110461336172888064,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR110461336172888064,Image,500,5000000,10000,,
48,CR111833526684352512,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR111833526684352512,Image,50,500000,10000,,
49,CR114964935800258560,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR114964935800258560,Image,50,5000,100,,
50,CR117216735613943808,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR117216735613943808,Image,50,50000,1000,,
51,CR123972135054999552,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR123972135054999552,Image,50,50000,1000,,
52,CR127103544170905600,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR127103544170905600,Image,50,5000,100,,
53,CR127877600356859904,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR127877600356859904,Image,50,50000,1000,,
54,CR141106924262260736,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR141106924262260736,Image,50,50000,1000,,
55,CR144590177099055104,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR144590177099055104,Image,25000,5000000,200,,
56,CR153843666958417920,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR153843666958417920,Image,50,50000,1000,,
57,CR154969566865260544,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR154969566865260544,Image,50,50000,1000,,
58,CR15850559626018816,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR15850559626018816,Image,50,50000,1000,,
59,CR160000932073963520,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR160000932073963520,Image,50,500000,10000,,
60,CR163695291143290880,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR163695291143290880,Image,50,50000,1000,,
61,CR176080190118559744,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR176080190118559744,Image,25000,5000000,200,,
62,CR176854246304514048,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR176854246304514048,Image,50,5000,100,,
63,CR178015330583445504,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR178015330583445504,Image,50,50000,1000,,
64,CR179880102304153600,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR179880102304153600,Image,50,5000,100,,
65,CR180865264722640896,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR180865264722640896,Image,50,50000,1000,,
