,id,url,type,cost,impression,effect,img
1,CR184437028245471232,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR184437028245471232,Image,50.0,500000.0,10000.0,https://tpc.googlesyndication.com/simgad/7471146148356841313
2,CR250865122749186048,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR250865122749186048,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/10013457611968899273
4,CR306034218184474624,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR306034218184474624,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/17551359132762138054
7,CR506444401602461696,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR506444401602461696,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/4576083210006270387
8,CR56084438865412096,https://transparencyreport.google.com/political-ads/library/advertiser/AR100838960162406400/creative/CR56084438865412096,Image,500.0,50000.0,100.0,https://tpc.googlesyndication.com/simgad/8951084303912839387
9,CR102333746220367872,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR102333746220367872,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/3209006247474697681
10,CR105957736545517568,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR105957736545517568,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/11512206230371436503
11,CR109335436266045440,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR109335436266045440,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/9628976257367719069
12,CR110461336172888064,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR110461336172888064,Image,500.0,5000000.0,10000.0,https://tpc.googlesyndication.com/simgad/10310795494844073946
13,CR111833526684352512,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR111833526684352512,Image,50.0,500000.0,10000.0,https://tpc.googlesyndication.com/simgad/10795125566885164803
