,id,url,type,cost,impression,effect,img
998,CR495647197417701376,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR495647197417701376,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/17686541945979339543
1000,CR497054572301254656,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR497054572301254656,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/12179957309370261953
1001,CR497336047277965312,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR497336047277965312,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/12179957309370261953
1002,CR497648858336067584,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR497648858336067584,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/14483087720471798782
1006,CR503669234253955072,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR503669234253955072,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/13490807367683348799
1008,CR505598327404888064,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR505598327404888064,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/8134515856189071843
1009,CR506343246532706304,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR506343246532706304,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/17622802421007934348
1010,CR506906196486127616,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR506906196486127616,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/12179957309370261953
1012,CR507187671462838272,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR507187671462838272,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/9329136380614636704
1013,CR509157996299812864,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR509157996299812864,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/11897340755573025160
1014,CR50916734214864896,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR50916734214864896,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/12343025548240169673
1015,CR510565371183366144,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR510565371183366144,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/294291258320436915
1017,CR511409796113498112,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR511409796113498112,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/5294424644111614821
1019,CR511972746066919424,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR511972746066919424,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/12179957309370261953
1020,CR513239383462117376,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR513239383462117376,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/294291258320436915
1021,CR5135818813341696,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR5135818813341696,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/11980748617929937628
1022,CR514365283368960000,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR514365283368960000,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/294291258320436915
1023,CR516741877752397824,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR516741877752397824,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/4658870125257659430
1024,CR517278439426752512,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR517278439426752512,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/12267091367661134491
1025,CR517420276426735616,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR517420276426735616,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/13561453106100225413
1027,CR51755111831044096,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR51755111831044096,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/15102308506826707371
1028,CR517973330775506944,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR517973330775506944,Image,500.0,50000.0,100.0,https://tpc.googlesyndication.com/simgad/6464281908449230130
1029,CR518165195554553856,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR518165195554553856,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/9329136380614636704
