,id,url,type,cost,impression,effect,img
0,CR495647197417701376,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR495647197417701376,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/17686541945979339543
1,CR497054572301254656,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR497054572301254656,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/12179957309370261953
2,CR497336047277965312,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR497336047277965312,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/12179957309370261953
3,CR497648858336067584,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR497648858336067584,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/14483087720471798782
4,CR503669234253955072,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR503669234253955072,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/13490807367683348799
5,CR505598327404888064,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR505598327404888064,Image,500,500000,1000,https://tpc.googlesyndication.com/simgad/8134515856189071843
6,CR506343246532706304,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR506343246532706304,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/17622802421007934348
7,CR506906196486127616,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR506906196486127616,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/12179957309370261953
8,CR507187671462838272,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR507187671462838272,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/9329136380614636704
9,CR509157996299812864,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR509157996299812864,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/11897340755573025160
10,CR50916734214864896,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR50916734214864896,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/12343025548240169673
11,CR510565371183366144,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR510565371183366144,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/294291258320436915
12,CR511409796113498112,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR511409796113498112,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/5294424644111614821
13,CR511972746066919424,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR511972746066919424,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/12179957309370261953
14,CR513239383462117376,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR513239383462117376,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/294291258320436915
15,CR5135818813341696,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR5135818813341696,Image,50,50000,1000,https://tpc.googlesyndication.com/simgad/11980748617929937628
16,CR514365283368960000,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR514365283368960000,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/294291258320436915
17,CR516741877752397824,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR516741877752397824,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/4658870125257659430
18,CR517278439426752512,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR517278439426752512,Image,50,5000,100,https://tpc.googlesyndication.com/simgad/12267091367661134491
19,CR517420276426735616,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR517420276426735616,Image,500,500000,1000,https://tpc.googlesyndication.com/simgad/13561453106100225413
20,CR51755111831044096,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR51755111831044096,Image,500,500000,1000,https://tpc.googlesyndication.com/simgad/15102308506826707371
21,CR517973330775506944,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR517973330775506944,Image,500,50000,100,https://tpc.googlesyndication.com/simgad/6464281908449230130
