,id,effect,colorfullness,edges,r_mean,r_variance,r_kurtosis,r_skewness,g_mean,g_variance,g_kurtosis,g_skewness,b_mean,b_variance,b_kurtosis,b_skewness
0,CR495647197417701376,57.56363636,88.24363134,250,292.96875,11245.10352,0.70707202,0.047920905,292.96875,10992.2666,0.751591444,0.049525574,292.96875,15129.875,0.798682749,0.051625926
1,CR497054572301254656,717.4444444,106.8790139,60,109.6875,926.3803711,0.23969464,0.044739082,109.6875,1659.597778,0.375001311,0.056634743,109.6875,1312.294312,0.339006484,0.053961754
2,CR497336047277965312,33.10526316,106.8790139,60,109.6875,926.3803711,0.23969464,0.044739082,109.6875,1659.597778,0.375001311,0.056634743,109.6875,1312.294312,0.339006484,0.053961754
3,CR497648858336067584,139.8958333,41.24679049,600,375,4368.473145,0.603923857,0.039416943,375,4381.41748,0.603150487,0.039385647,375,4352.796387,0.609265685,0.039652448
4,CR503669234253955072,12.84722222,101.5833016,90,255.9375,1581.869141,0.113747306,0.020178391,255.9375,2822.790039,0.168385431,0.02455676,255.9375,2033.346191,0.162789002,0.024331126
5,CR505598327404888064,2422.410042,62.42930325,250,292.96875,16552.4707,0.780996859,0.05091447,292.96875,16830.69727,0.7630229,0.050149255,292.96875,16586.45703,0.773306668,0.050584137
6,CR506343246532706304,104,100.2806286,600,281.25,3718.476074,0.103802003,0.01872156,281.25,6334.45166,0.166783348,0.023576505,281.25,5108.264648,0.15500541,0.022740718
7,CR506906196486127616,49.47368421,106.8790139,60,109.6875,926.3803711,0.23969464,0.044739082,109.6875,1659.597778,0.375001311,0.056634743,109.6875,1312.294312,0.339006484,0.053961754
8,CR507187671462838272,76.06756757,63.16933667,250,292.96875,11102.88184,0.740341365,0.049109366,292.96875,11279.44727,0.722828567,0.048380848,292.96875,11268.82715,0.714500487,0.048004188
9,CR509157996299812864,36.75,103.0334436,600,375,4934.323242,0.077450499,0.013962757,375,8280.849609,0.121919461,0.017409356,375,6621.155273,0.10930787,0.016570229
10,CR50916734214864896,409.5454545,87.73502754,250,244.140625,7887.510254,0.876303256,0.058601204,244.140625,7591.039551,0.92026788,0.0601843,244.140625,10485.39063,0.966762066,0.062298369
11,CR510565371183366144,287.2941176,71.70386354,600,375,17047.89648,0.621663928,0.040226202,375,17282.17773,0.614298642,0.039900165,375,19275.83789,0.616777837,0.04001287
12,CR511409796113498112,83.73333333,100.6175441,250,292.96875,3240.734375,0.09577506,0.017565018,292.96875,5687.674316,0.150217205,0.021961493,292.96875,4610.05127,0.129692167,0.02046149
13,CR511972746066919424,814.6,106.8790139,60,109.6875,926.3803711,0.23969464,0.044739082,109.6875,1659.597778,0.375001311,0.056634743,109.6875,1312.294312,0.339006484,0.053961754
