,id,effect,colorfullness,edges,r_mean,r_variance,r_kurtosis,r_skewness,g_mean,g_variance,g_kurtosis,g_skewness,b_mean,b_variance,b_kurtosis,b_skewness
0,CR495647197417701376,100,88.24363134064546,250.0,292.96875,11245.103515625,0.7070720195770264,0.04792090505361557,292.96875,10992.2666015625,0.7515914440155029,0.04952557384967804,292.96875,15129.875,0.7986827492713928,0.05162592604756355
1,CR497054572301254656,100,106.87901393461783,60.0,109.6875,926.38037109375,0.23969464004039764,0.04473908245563507,109.6875,1659.5977783203125,0.37500131130218506,0.05663474276661873,109.6875,1312.2943115234375,0.3390064835548401,0.053961753845214844
2,CR497336047277965312,100,106.87901393461783,60.0,109.6875,926.38037109375,0.23969464004039764,0.04473908245563507,109.6875,1659.5977783203125,0.37500131130218506,0.05663474276661873,109.6875,1312.2943115234375,0.3390064835548401,0.053961753845214844
3,CR497648858336067584,100,41.24679048704191,600.0,375.0,4368.47314453125,0.6039238572120667,0.03941694274544716,375.0,4381.41748046875,0.603150486946106,0.03938564658164978,375.0,4352.79638671875,0.6092656850814819,0.039652448147535324
4,CR503669234253955072,100,101.58330157147016,90.0,255.9375,1581.869140625,0.11374730616807938,0.02017839066684246,255.9375,2822.7900390625,0.16838543117046356,0.024556759744882584,255.9375,2033.34619140625,0.1627890020608902,0.024331126362085342
5,CR505598327404888064,1000,62.4293032545798,250.0,292.96875,16552.470703125,0.7809968590736389,0.050914470106363297,292.96875,16830.697265625,0.7630228996276855,0.050149254500865936,292.96875,16586.45703125,0.773306667804718,0.05058413743972778
6,CR506343246532706304,100,100.28062864380186,600.0,281.25,3718.47607421875,0.10380200296640396,0.018721560016274452,281.25,6334.45166015625,0.16678334772586823,0.023576505482196808,281.25,5108.2646484375,0.15500541031360626,0.022740717977285385
7,CR506906196486127616,100,106.87901393461783,60.0,109.6875,926.38037109375,0.23969464004039764,0.04473908245563507,109.6875,1659.5977783203125,0.37500131130218506,0.05663474276661873,109.6875,1312.2943115234375,0.3390064835548401,0.053961753845214844
8,CR507187671462838272,100,63.169336665194955,250.0,292.96875,11102.8818359375,0.7403413653373718,0.04910936579108238,292.96875,11279.447265625,0.7228285670280457,0.04838084802031517,292.96875,11268.8271484375,0.7145004868507385,0.048004187643527985
9,CR509157996299812864,100,103.03344364312417,600.0,375.0,4934.3232421875,0.07745049893856049,0.013962756842374802,375.0,8280.849609375,0.12191946059465408,0.01740935631096363,375.0,6621.1552734375,0.10930787026882172,0.016570229083299637
10,CR50916734214864896,100,87.73502754135713,250.0,244.140625,7887.51025390625,0.8763032555580139,0.05860120430588722,244.140625,7591.03955078125,0.9202678799629211,0.0601842999458313,244.140625,10485.390625,0.9667620658874512,0.06229836866259575
